/* Input Data File - do NOT change names, comments */
/* Any change is on your risk for the following functionality of the program */

// Elements in sets
nN= 8;		// Number of Nodes
nL= 10;		// Number of Links
nP= 24;		// Number of Paths
nW= 8;		// Number of Wavelengths
nD= 8;		// Number of Demands
oaNum= 2; 	// Two transponders per Node

// Consumption of power
en= 150;	// Consumption in the Node
et= 2.95;	// Consumption in the Transponder
ew= 0.107;	// Consumption in the Wavelength
eoa= 9;		// Consumption in the Optical Amplifier

// Lengths
Dist= 480;	// Distance between Transponders
le= 245;	// Length from one node to another
loa= 80;	// Length from one Optical Amplifier to another
 
h=[	3	3	3	3	5	5	2	2	4	1	3	3	3	3	3	2	2	4	1	3	3	2	4	4	]; // Number of hops for each path

// Tables
// Table DP[demand,path]
DP=[
[	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	] // A B C
[	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	] // D E F
[	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	] // G H I
[	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	] // J K L
[	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	] // M N O
[	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	] // P Q R
[	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	] // S T U
[	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	] // V W X
];

// Table PE[path,link]
PE=[
[	1	1	1	0	0	0	0	0	0	0	] // 0,3 named A (0 1 2)
[	0	0	1	0	0	0	0	1	1	0	] // 0,3 named B (7 8 2)
[	0	0	0	0	0	0	1	1	0	1	] // 0,3 named C (7 6 9)
[	0	1	1	1	0	0	0	0	0	0	] // 1,4 named D (1 2 3)
[	1	0	0	0	1	1	1	1	0	0	] // 1,4 named E (0 7 6 5 4)
[	0	1	1	0	1	1	0	0	0	1	] // 1,4 named F (1 2 9 5 4)
[	0	0	1	0	0	0	0	0	0	1	] // 2,6 named G (2 9)
[	0	0	0	0	0	0	1	0	1	0	] // 2,6 named H (8 6)
[	0	0	1	1	1	1	0	0	0	0	] // 2,6 named I (2 3 4 5)
[	0	0	0	0	0	0	0	0	1	0	] // 2,7 named J (8)
[	1	1	0	0	0	0	0	1	0	0	] // 2,7 named K (1 0 7)
[	0	0	1	0	0	0	1	0	0	1	] // 2,7 named L (2 9 6)
[	0	0	1	1	1	0	0	0	0	0	] // 2,5 named M (2 3 4)
[	0	0	1	0	0	1	0	0	0	1	] // 2,5 named N (2 9 5)
[	0	0	0	0	0	1	1	0	1	0	] // 2,5 named O (8 6 5)
[	0	0	0	0	0	0	1	0	0	1	] // 3,7 named P (9 6)
[	0	0	1	0	0	0	0	0	1	0	] // 3,7 named Q (2 8)
[	0	0	0	1	1	1	1	0	0	0	] // 3,7 named R (3 4 5 6)
[	0	0	0	0	0	0	0	0	0	1	] // 3,6 named S (9)
[	0	0	0	1	1	1	0	0	0	0	] // 3,6 named T (3 4 5)
[	0	0	1	0	0	0	1	0	1	0	] // 3,6 named U (2 8 6)
[	0	0	0	0	0	1	1	0	0	0	] // 5,7 named V (5 6)
[	0	0	1	0	0	1	0	0	1	1	] // 5,7 named W (5 9 2 8)
[	0	0	1	1	1	0	0	0	1	0	] // 5,7 named X (4 3 2 8)
];

// Table OD[origin,destination]
OD=[
[	1	0	0	1	0	0	0	0	] // 0,3
[	0	1	0	0	1	0	0	0	] // 1,4
[	0	0	1	0	0	0	1	0	] // 2,6
[	0	0	1	0	0	0	0	1	] // 2,7
[	0	0	1	0	0	1	0	0	] // 2,5
[	0	0	0	1	0	0	0	1	] // 3,7
[	0	0	0	1	0	0	1	0	] // 3,6
[	0	0	0	0	0	1	0	1	] // 5,7
];

// Table NE[node,link]
NE=[
[	1	0	0	0	0	0	0	1	0	0	]
[	1	1	0	0	0	0	0	0	0	0	]
[	0	1	1	0	0	0	0	0	1	0	]
[	0	0	1	1	0	0	0	0	0	1	]
[	0	0	0	1	1	0	0	0	0	0	]
[	0	0	0	0	1	1	0	0	0	0	]
[	0	0	0	0	0	1	1	0	0	1	]
[	0	0	0	0	0	0	1	1	1	0	]
];
